Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1984,.30,.17,.29,.08,.33,.05,.17,.16,.21,.16,.06,-.05,.16,.18,.21,.23,.13,.14
1985,.22,-.07,.17,.11,.17,.18,-.01,.14,.15,.11,.08,.15,.12,.10,.03,.15,.10,.11
1986,.28,.39,.27,.24,.24,.10,.11,.12,.00,.13,.11,.16,.18,.18,.27,.25,.11,.08
1987,.36,.45,.15,.22,.25,.37,.45,.28,.39,.32,.25,.48,.33,.31,.33,.21,.37,.32
1988,.57,.43,.51,.45,.44,.43,.35,.47,.41,.40,.12,.33,.41,.42,.49,.47,.41,.31
1989,.15,.35,.37,.33,.16,.14,.34,.37,.37,.32,.20,.38,.29,.29,.28,.29,.28,.30
1990,.41,.41,.76,.55,.46,.38,.43,.30,.29,.41,.45,.40,.44,.44,.40,.59,.37,.38
1991,.40,.49,.35,.52,.37,.53,.47,.39,.48,.30,.31,.32,.41,.42,.43,.41,.46,.36
1992,.44,.41,.47,.24,.32,.25,.12,.07,.00,.09,.03,.21,.22,.23,.39,.34,.15,.04
1993,.37,.39,.36,.26,.27,.25,.28,.13,.10,.22,.06,.16,.24,.24,.32,.30,.22,.13
1994,.27,.02,.26,.40,.28,.43,.31,.21,.29,.41,.46,.36,.31,.29,.15,.32,.32,.39
1995,.51,.78,.45,.47,.26,.41,.47,.47,.33,.47,.45,.28,.45,.45,.55,.39,.45,.42
1996,.25,.48,.32,.36,.27,.25,.35,.49,.26,.19,.41,.40,.34,.33,.34,.32,.36,.29
1997,.32,.38,.53,.36,.36,.54,.35,.41,.54,.62,.65,.59,.47,.45,.37,.41,.43,.60
1998,.60,.90,.64,.63,.69,.77,.69,.66,.41,.45,.49,.56,.62,.63,.70,.65,.71,.45
1999,.48,.65,.34,.32,.31,.37,.37,.31,.41,.39,.38,.43,.40,.41,.56,.33,.35,.39
2000,.24,.56,.58,.57,.36,.41,.39,.42,.41,.28,.33,.30,.40,.42,.41,.50,.41,.34
2001,.43,.44,.56,.51,.57,.54,.60,.48,.54,.51,.70,.56,.54,.51,.39,.54,.54,.58
2002,.75,.76,.90,.56,.64,.55,.61,.53,.63,.55,.58,.44,.63,.64,.69,.70,.57,.59
2003,.73,.55,.58,.53,.61,.48,.54,.65,.65,.74,.53,.74,.61,.59,.57,.57,.56,.64
2004,.59,.72,.64,.63,.39,.43,.24,.44,.50,.63,.71,.51,.54,.55,.68,.55,.37,.61
2005,.72,.57,.69,.67,.63,.66,.64,.61,.75,.76,.72,.65,.67,.66,.60,.66,.64,.74
2006,.56,.69,.62,.50,.47,.64,.52,.70,.62,.67,.70,.73,.62,.61,.63,.53,.62,.66
2007,.95,.70,.69,.74,.66,.58,.60,.57,.60,.57,.55,.46,.64,.66,.79,.69,.59,.57
2008,.23,.34,.73,.51,.47,.45,.59,.43,.63,.63,.65,.53,.51,.51,.34,.57,.49,.63
2009,.61,.51,.52,.58,.64,.65,.69,.65,.68,.63,.76,.65,.63,.62,.55,.58,.67,.69
2010,.73,.80,.92,.85,.73,.62,.59,.63,.58,.69,.77,.46,.70,.71,.73,.83,.61,.68
2011,.48,.51,.62,.62,.51,.56,.71,.70,.54,.63,.55,.53,.58,.57,.48,.58,.66,.57
2012,.44,.47,.55,.68,.74,.62,.54,.60,.72,.75,.73,.52,.61,.61,.48,.66,.59,.73
2013,.66,.55,.66,.53,.58,.65,.57,.66,.76,.67,.78,.65,.64,.63,.58,.59,.63,.74
2014,.73,.52,.76,.77,.85,.66,.56,.80,.88,.81,.66,.78,.73,.72,.63,.79,.67,.78
2015,.81,.86,.90,.75,.76,.79,.71,.78,.82,1.07,1.03,1.10,.87,.84,.82,.80,.76,.97
2016,1.15,1.34,1.31,1.08,.91,.78,.82,1.00,.87,.89,.90,.82,.99,1.01,1.20,1.10,.87,.89
2017,.96,1.12,1.12,.92,.89,.71,.81,.87,.75,.87,.84,.88,.89,.89,.96,.98,.79,.82
2018,.77,.81,.91,.87,.82,.76,.78,***,***,***,***,***,***,***,.82,.86,***,***
